,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
795277,10518755,HZ260819,05/11/2016 05:00:00 PM,076XX S CICERO AVE,0860,THEFT,RETAIL THEFT,OTHER,True,False,833,8.0,13.0,65.0,06,1145727.0,1853720.0,2016,05/18/2016 03:50:36 PM,41.754592961,-87.741528537,"(41.754592961, -87.741528537)"
795278,10518757,HZ260813,05/11/2016 08:31:00 PM,035XX N CLARK ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,True,False,1924,19.0,44.0,6.0,08B,1168657.0,1923609.0,2016,05/18/2016 03:50:36 PM,41.945910991,-87.655474824,"(41.945910991, -87.655474824)"
795279,10518760,HZ260657,05/11/2016 06:40:00 PM,030XX E 83RD ST,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,PARK PROPERTY,False,False,424,4.0,7.0,46.0,04B,1198047.0,1850526.0,2016,05/18/2016 03:50:36 PM,41.744680815,-87.549900201,"(41.744680815, -87.549900201)"
795280,10518761,HZ260794,05/11/2016 06:30:00 PM,010XX W NEWPORT AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,False,False,1924,19.0,44.0,6.0,05,1168770.0,1923083.0,2016,05/18/2016 03:50:36 PM,41.944465172,-87.655074776,"(41.944465172, -87.655074776)"
795281,10518762,HZ260770,05/11/2016 08:10:00 PM,015XX E 76TH PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,411,4.0,5.0,43.0,14,1187741.0,1854562.0,2016,05/18/2016 03:50:36 PM,41.756007259,-87.587533939,"(41.756007259, -87.587533939)"
795282,10518765,HZ260830,05/11/2016 09:05:00 PM,061XX S PAULINA ST,4625,OTHER OFFENSE,PAROLE VIOLATION,ABANDONED BUILDING,True,False,714,7.0,15.0,67.0,26,1166063.0,1863974.0,2016,05/18/2016 03:50:36 PM,41.782323266,-87.666711497,"(41.782323266, -87.666711497)"
795283,10518767,HZ260834,05/11/2016 09:12:00 PM,114XX S HARVARD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,False,True,522,5.0,34.0,49.0,08B,1176003.0,1829022.0,2016,05/18/2016 03:50:36 PM,41.686193222,-87.631314031,"(41.686193222, -87.631314031)"
795284,10518768,HZ260839,05/11/2016 08:00:00 PM,032XX N SACRAMENTO AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,1733,17.0,33.0,21.0,26,1155810.0,1921470.0,2016,05/18/2016 03:50:36 PM,41.940310512,-87.702753862,"(41.940310512, -87.702753862)"
795285,10518770,HZ260377,05/11/2016 01:10:00 PM,039XX N CICERO AVE,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),False,True,1731,17.0,38.0,15.0,06,1143669.0,1925570.0,2016,05/18/2016 03:50:36 PM,41.951797683,-87.74727349,"(41.951797683, -87.74727349)"
795286,10518771,HZ260836,05/11/2016 09:21:00 PM,071XX S CALUMET AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARK PROPERTY,True,False,323,3.0,6.0,69.0,18,1179715.0,1857723.0,2016,05/18/2016 03:50:36 PM,41.764868549,-87.616850675,"(41.764868549, -87.616850675)"
795288,10518773,HZ260702,05/11/2016 05:38:00 PM,053XX W MADISON ST,0560,ASSAULT,SIMPLE,STREET,True,False,1522,15.0,28.0,25.0,08A,1140847.0,1899507.0,2016,05/18/2016 03:50:36 PM,41.880330431,-87.758289677,"(41.880330431, -87.758289677)"
795289,10518774,HZ260720,05/11/2016 07:25:00 PM,050XX W ADAMS ST,0460,BATTERY,SIMPLE,PARK PROPERTY,False,False,1533,15.0,28.0,25.0,08B,1142522.0,1898854.0,2016,05/18/2016 03:50:36 PM,41.878507556,-87.752155409,"(41.878507556, -87.752155409)"
795290,10518776,HZ260779,05/11/2016 08:23:00 PM,013XX N PARKSIDE AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,False,False,2531,25.0,29.0,25.0,04B,1138431.0,1908258.0,2016,05/18/2016 03:50:36 PM,41.904388354,-87.766948998,"(41.904388354, -87.766948998)"
795291,10518778,HZ260679,05/11/2016 04:20:00 PM,050XX S BLACKSTONE AVE,0560,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, GROUNDS",False,False,222,2.0,4.0,39.0,08A,1186774.0,1871922.0,2016,05/18/2016 03:50:36 PM,41.803667488,-87.590528166,"(41.803667488, -87.590528166)"
795292,10518781,HZ260841,05/11/2016 09:00:00 PM,012XX S KEELER AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,1011,10.0,24.0,29.0,18,1148575.0,1894208.0,2016,05/18/2016 03:50:36 PM,41.86564376,-87.730049737,"(41.86564376, -87.730049737)"
795293,10518784,HZ260532,05/11/2016 04:15:00 PM,083XX S COMMERCIAL AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,False,False,424,4.0,10.0,46.0,04A,1197636.0,1850405.0,2016,05/18/2016 03:50:36 PM,41.74435904,-87.551410154,"(41.74435904, -87.551410154)"
795294,10518785,HZ260884,05/11/2016 10:03:00 PM,090XX S MARSHFIELD AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,True,True,2221,22.0,21.0,73.0,26,1166926.0,1844747.0,2016,05/18/2016 03:50:36 PM,41.729543329,-87.66409585,"(41.729543329, -87.66409585)"
795295,10518788,HZ260913,05/11/2016 10:03:00 PM,007XX N WASHTENAW AVE,141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,STREET,False,False,1221,12.0,26.0,24.0,15,1158255.0,1905012.0,2016,05/18/2016 03:50:36 PM,41.895098794,-87.69421843,"(41.895098794, -87.69421843)"
795296,10518789,HZ260872,05/11/2016 08:00:00 AM,013XX W FLETCHER ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,1933,19.0,32.0,6.0,05,1166813.0,1921032.0,2016,05/18/2016 03:50:36 PM,41.938879397,-87.662326848,"(41.938879397, -87.662326848)"
795297,10518793,HZ260846,05/11/2016 03:30:00 PM,051XX S ASHLAND AVE,0460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),False,False,934,9.0,16.0,61.0,08B,1166541.0,1870734.0,2016,05/18/2016 03:50:36 PM,41.800863342,-87.664766276,"(41.800863342, -87.664766276)"
795298,10518794,HZ260885,05/11/2016 05:00:00 PM,067XX S PERRY AVE,1090,ARSON,ATTEMPT ARSON,STREET,False,False,722,7.0,6.0,69.0,09,1176558.0,1860286.0,2016,05/18/2016 03:50:36 PM,41.771973284,-87.628344899,"(41.771973284, -87.628344899)"
795299,10518795,HZ260801,05/11/2016 04:00:00 PM,029XX W 38TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,911,9.0,14.0,58.0,08B,1157475.0,1878964.0,2016,05/18/2016 03:50:36 PM,41.823636218,-87.697791332,"(41.823636218, -87.697791332)"
795300,10518796,HZ260761,05/11/2016 07:45:00 PM,011XX W WILSON AVE,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,HOTEL/MOTEL,False,False,1913,19.0,46.0,3.0,04A,1167822.0,1930700.0,2016,05/18/2016 03:50:36 PM,41.965387049,-87.658338686,"(41.965387049, -87.658338686)"
795301,10518798,HZ260862,05/11/2016 09:43:00 PM,100XX S LUELLA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,True,True,431,4.0,7.0,51.0,14,1193156.0,1838817.0,2016,05/18/2016 03:50:36 PM,41.712671027,-87.56820248,"(41.712671027, -87.56820248)"
795302,10518799,HZ260362,05/11/2016 02:40:00 PM,044XX S UNION AVE,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",False,False,925,9.0,11.0,61.0,08A,1172376.0,1875288.0,2016,05/18/2016 03:50:36 PM,41.813233446,-87.643233311,"(41.813233446, -87.643233311)"
795303,10518801,HZ260786,05/11/2016 08:01:00 PM,027XX S PRINCETON AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,False,914,9.0,11.0,34.0,03,1174739.0,1886331.0,2016,05/18/2016 03:50:36 PM,41.843483989,-87.634236146,"(41.843483989, -87.634236146)"
795304,10518802,HZ260882,05/11/2016 09:30:00 PM,083XX S BUFFALO AVE,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,STREET,False,False,424,4.0,10.0,46.0,03,1199588.0,1850400.0,2016,05/18/2016 03:50:36 PM,41.744296424,-87.544258141,"(41.744296424, -87.544258141)"
795305,10518806,HZ260879,05/11/2016 09:45:00 PM,015XX N PULASKI RD,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,True,False,2535,25.0,30.0,23.0,16,1149436.0,1909946.0,2016,05/18/2016 03:50:36 PM,41.908813889,-87.726480349,"(41.908813889, -87.726480349)"
795306,10518780,HZ260782,05/11/2016 07:50:00 PM,043XX S CALUMET AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,True,False,215,2.0,3.0,38.0,03,1179154.0,1876409.0,2016,05/24/2016 04:04:42 PM,41.816157509,-87.618337289,"(41.816157509, -87.618337289)"
795307,10518807,HZ260908,05/11/2016 10:10:00 PM,024XX W POLK ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,1135,11.0,2.0,28.0,08B,1160179.0,1896298.0,2016,05/18/2016 03:50:36 PM,41.871147252,-87.687392961,"(41.871147252, -87.687392961)"
795308,10518808,HZ260881,05/11/2016 09:10:00 PM,001XX W LAKE ST,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,CTA TRAIN,True,False,122,1.0,42.0,32.0,08B,1175301.0,1901735.0,2016,05/18/2016 03:50:36 PM,41.885741029,-87.631711749,"(41.885741029, -87.631711749)"
795309,10518809,HZ260886,05/11/2016 10:05:00 PM,064XX S TALMAN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,825,8.0,15.0,66.0,18,1159818.0,1861797.0,2016,05/18/2016 03:50:36 PM,41.776479848,-87.689667268,"(41.776479848, -87.689667268)"
795310,10518811,HZ260817,05/11/2016 06:00:00 AM,003XX W GARFIELD BLVD,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,711,7.0,3.0,68.0,05,1174761.0,1868347.0,2016,05/18/2016 03:50:36 PM,41.794133772,-87.634692019,"(41.794133772, -87.634692019)"
795311,10518813,HZ260851,05/11/2016 09:30:00 PM,030XX W FULLERTON AVE,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENTIAL YARD (FRONT/BACK),True,False,1414,14.0,35.0,22.0,04A,1155728.0,1915800.0,2016,05/18/2016 03:50:36 PM,41.924753265,-87.7032084,"(41.924753265, -87.7032084)"
795312,10518814,HZ260933,05/11/2016 09:30:00 PM,015XX N PULASKI RD,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,ALLEY,True,False,2534,25.0,30.0,23.0,16,1149438.0,1909871.0,2016,05/18/2016 03:50:36 PM,41.908608043,-87.726474952,"(41.908608043, -87.726474952)"
795313,10518815,HZ260900,05/11/2016 10:10:00 PM,023XX N ROCKWELL ST,0320,ROBBERY,STRONGARM - NO WEAPON,RESIDENTIAL YARD (FRONT/BACK),False,False,1431,14.0,1.0,22.0,03,1158560.0,1915430.0,2016,05/18/2016 03:50:36 PM,41.92368038,-87.692812515,"(41.92368038, -87.692812515)"
795314,10518816,HZ260918,05/11/2016 10:07:00 PM,043XX N KEYSTONE AVE,2020,NARCOTICS,POSS: AMPHETAMINES,PARKING LOT/GARAGE(NON.RESID.),True,False,1722,17.0,39.0,16.0,18,1148511.0,1928549.0,2016,05/18/2016 03:50:36 PM,41.959880051,-87.729396984,"(41.959880051, -87.729396984)"
795315,10518817,HZ260937,05/11/2016 09:15:00 PM,015XX N RIDGEWAY AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,SIDEWALK,True,False,2535,25.0,26.0,23.0,16,1151084.0,1910011.0,2016,05/18/2016 03:50:36 PM,41.908960101,-87.720424627,"(41.908960101, -87.720424627)"
795316,10518818,HZ260904,05/11/2016 09:00:00 PM,027XX S TROY ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,False,1033,10.0,12.0,30.0,08B,1155803.0,1885698.0,2016,05/18/2016 03:50:36 PM,41.842148915,-87.703744278,"(41.842148915, -87.703744278)"
795317,10265705,HY351067,07/22/2015 01:55:00 PM,033XX W FILLMORE ST,2024,NARCOTICS,POSS: HEROIN(WHITE),POLICE FACILITY/VEH PARKING LOT,True,False,1134,11.0,24.0,29.0,18,,,2015,05/28/2016 03:49:27 PM,,,
795318,10518822,HZ260919,05/11/2016 10:41:00 PM,044XX S TALMAN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,922,9.0,12.0,58.0,18,1159439.0,1875226.0,2016,05/18/2016 03:50:36 PM,41.813338597,-87.690688646,"(41.813338597, -87.690688646)"
795319,10518824,HZ260945,05/11/2016 11:05:00 PM,015XX N PULASKI RD,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,True,False,2534,25.0,30.0,23.0,16,1149438.0,1909844.0,2016,05/18/2016 03:50:36 PM,41.908533952,-87.726475653,"(41.908533952, -87.726475653)"
795320,10518826,HZ260938,05/11/2016 09:45:00 PM,039XX W GRAND AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,True,False,2535,25.0,30.0,23.0,16,1149657.0,1908875.0,2016,05/18/2016 03:50:36 PM,41.905870667,-87.725696364,"(41.905870667, -87.725696364)"
795321,10518828,HZ260897,05/11/2016 09:21:00 PM,036XX N TROY ST,1200,DECEPTIVE PRACTICE,STOLEN PROP: BUY/RECEIVE/POS.,SIDEWALK,True,False,1733,17.0,33.0,16.0,13,1154741.0,1923976.0,2016,05/18/2016 03:50:36 PM,41.947208665,-87.706615468,"(41.947208665, -87.706615468)"
795322,10518829,HZ260944,05/11/2016 10:00:00 PM,003XX S MICHIGAN AVE,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,False,False,113,1.0,2.0,32.0,04A,1177341.0,1898860.0,2016,05/18/2016 03:50:36 PM,41.877805859,-87.624307765,"(41.877805859, -87.624307765)"
795323,10518831,HZ260734,05/11/2016 07:10:00 PM,091XX S COTTAGE GROVE AVE,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,False,633,6.0,6.0,44.0,06,1183159.0,1844621.0,2016,05/18/2016 03:50:36 PM,41.728835841,-87.604634255,"(41.728835841, -87.604634255)"
795324,10518833,HZ260891,05/11/2016 09:35:00 PM,092XX S DAUPHIN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,633,6.0,8.0,44.0,14,1183601.0,1843991.0,2016,05/18/2016 03:50:36 PM,41.727096769,-87.603034703,"(41.727096769, -87.603034703)"
795325,10518812,HZ260829,05/11/2016 03:18:00 PM,087XX S EXCHANGE AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,423,4.0,10.0,46.0,11,1197282.0,1847578.0,2016,05/31/2016 03:50:19 PM,41.736610353,-87.552801171,"(41.736610353, -87.552801171)"
795326,10518830,HZ260935,05/11/2016 11:05:00 PM,005XX S KOSTNER AVE,0454,BATTERY,AGG PO HANDS NO/MIN INJURY,PARKING LOT/GARAGE(NON.RESID.),True,False,1131,11.0,24.0,26.0,08B,1147142.0,1897270.0,2016,06/02/2016 03:51:36 PM,41.874073772,-87.735232086,"(41.874073772, -87.735232086)"
795327,10518834,HZ260961,05/11/2016 10:00:00 PM,082XX S COTTAGE GROVE AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,STREET,True,False,631,6.0,6.0,44.0,26,1182989.0,1850634.0,2016,05/18/2016 03:50:36 PM,41.745340136,-87.605070606,"(41.745340136, -87.605070606)"
795328,10518835,HZ260943,05/11/2016 10:50:00 PM,015XX N KEYSTONE AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,SIDEWALK,True,False,2534,25.0,30.0,23.0,16,1149103.0,1909833.0,2016,05/18/2016 03:50:36 PM,41.908510264,-87.727706575,"(41.908510264, -87.727706575)"
795329,10518836,HZ260859,05/11/2016 09:00:00 PM,034XX W IRVING PARK RD,1670,GAMBLING,GAME/AMUSEMENT DEVICE,OTHER,True,False,1723,17.0,35.0,16.0,19,1152529.0,1926373.0,2016,05/18/2016 03:50:36 PM,41.953830299,-87.714682629,"(41.953830299, -87.714682629)"
795330,10518837,HZ260926,05/11/2016 10:35:00 PM,020XX W 18TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,VEHICLE NON-COMMERCIAL,True,False,1234,12.0,25.0,31.0,18,1163011.0,1891400.0,2016,05/18/2016 03:50:36 PM,41.857647734,-87.677133102,"(41.857647734, -87.677133102)"
795331,10518838,HZ260892,05/11/2016 09:38:00 PM,016XX N PULASKI RD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARKING LOT/GARAGE(NON.RESID.),True,False,2535,25.0,30.0,23.0,18,1149466.0,1910591.0,2016,05/18/2016 03:50:36 PM,41.91058325,-87.726353375,"(41.91058325, -87.726353375)"
795332,10518839,HZ260769,05/11/2016 08:04:00 PM,0000X E 71ST ST,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,False,False,323,3.0,6.0,69.0,04B,1177638.0,1857926.0,2016,05/18/2016 03:50:36 PM,41.765472826,-87.624457282,"(41.765472826, -87.624457282)"
795333,10518840,HZ260747,05/11/2016 09:00:00 AM,016XX N KEATING AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,False,False,2533,25.0,37.0,25.0,05,1144479.0,1910503.0,2016,05/18/2016 03:50:36 PM,41.910437149,-87.744676171,"(41.910437149, -87.744676171)"
795334,10518842,HZ260929,05/11/2016 10:45:00 PM,025XX W PERSHING RD,0810,THEFT,OVER $500,SIDEWALK,True,False,921,9.0,12.0,58.0,06,1160125.0,1878720.0,2016,05/18/2016 03:50:36 PM,41.822912451,-87.688076108,"(41.822912451, -87.688076108)"
795335,10518843,HZ260962,05/11/2016 10:32:00 PM,037XX W DOUGLAS BLVD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,1011,10.0,24.0,29.0,18,1151690.0,1893199.0,2016,05/18/2016 03:50:36 PM,41.862814309,-87.718640841,"(41.862814309, -87.718640841)"
795336,10518844,HZ260909,05/11/2016 09:15:00 PM,114XX S LOWE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,2233,22.0,34.0,49.0,08B,1174026.0,1828984.0,2016,05/18/2016 03:50:36 PM,41.686132926,-87.638552554,"(41.686132926, -87.638552554)"
795337,10518845,HZ260591,05/11/2016 05:15:00 PM,046XX W WEST END AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,1113,11.0,28.0,25.0,08B,1145414.0,1900574.0,2016,05/18/2016 03:50:36 PM,41.88317321,-87.741492917,"(41.88317321, -87.741492917)"
795339,10518847,HZ260914,05/11/2016 10:17:00 PM,129XX S LOWE AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,False,False,523,5.0,9.0,53.0,04B,1174344.0,1819105.0,2016,05/18/2016 03:50:36 PM,41.659016301,-87.637680377,"(41.659016301, -87.637680377)"
795340,10518848,HZ260821,05/11/2016 08:15:00 PM,010XX W HOLLYWOOD AVE,0890,THEFT,FROM BUILDING,RESIDENCE,False,False,2022,20.0,48.0,77.0,06,1168363.0,1938040.0,2016,05/18/2016 03:50:36 PM,41.985516503,-87.65613622,"(41.985516503, -87.65613622)"
795341,10518849,HZ260840,05/11/2016 06:00:00 PM,012XX N CLARK ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1824,18.0,42.0,8.0,14,1175314.0,1908524.0,2016,05/18/2016 03:50:36 PM,41.904370109,-87.631460067,"(41.904370109, -87.631460067)"
795342,10518850,HZ260954,05/11/2016 11:20:00 PM,012XX S MICHIGAN AVE,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,RESTAURANT,False,False,131,1.0,2.0,33.0,10,1177419.0,1894900.0,2016,05/18/2016 03:50:36 PM,41.866937617,-87.624141504,"(41.866937617, -87.624141504)"
795343,10518851,HZ260980,05/11/2016 11:46:00 PM,007XX S KOSTNER AVE,502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,STREET,True,False,1131,11.0,24.0,26.0,26,1147171.0,1896268.0,2016,05/18/2016 03:50:36 PM,41.871323609,-87.735151249,"(41.871323609, -87.735151249)"
795344,10518852,HZ260941,05/11/2016 11:20:00 PM,009XX N CLARK ST,0820,THEFT,$500 AND UNDER,STREET,False,False,1832,18.0,42.0,8.0,06,1175357.0,1907064.0,2016,05/18/2016 03:50:36 PM,41.900362832,-87.631346003,"(41.900362832, -87.631346003)"
795345,10518853,HZ260974,05/11/2016 11:10:00 PM,003XX N CLARK ST,2012,NARCOTICS,MANU/DELIVER:COCAINE,SIDEWALK,True,False,1831,18.0,42.0,8.0,18,1175478.0,1902587.0,2016,05/18/2016 03:50:36 PM,41.888074991,-87.63103617,"(41.888074991, -87.63103617)"
795346,10518855,HZ260893,05/11/2016 09:58:00 PM,023XX S SPRINGFIELD AVE,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,APARTMENT,False,False,1013,10.0,22.0,30.0,04B,1150750.0,1888016.0,2016,05/18/2016 03:50:36 PM,41.848609946,-87.722226918,"(41.848609946, -87.722226918)"
795347,10518856,HZ260854,05/11/2016 09:30:00 PM,067XX S PRAIRIE AVE,0890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,False,False,322,3.0,20.0,69.0,06,1179202.0,1860356.0,2016,05/18/2016 03:50:36 PM,41.772105489,-87.61865076,"(41.772105489, -87.61865076)"
795348,10518857,HZ260887,05/11/2016 09:59:00 PM,056XX S HARLEM AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,False,811,8.0,23.0,56.0,08B,1129309.0,1866248.0,2016,05/18/2016 03:50:36 PM,41.789266449,-87.801413056,"(41.789266449, -87.801413056)"
795349,10518859,HZ260925,05/11/2016 11:00:00 PM,035XX W DOUGLAS BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,True,True,1021,10.0,24.0,29.0,14,1152781.0,1893058.0,2016,05/18/2016 03:50:36 PM,41.862405884,-87.714639603,"(41.862405884, -87.714639603)"
795350,10518861,HZ260866,05/11/2016 09:45:00 PM,122XX S STATE ST,0820,THEFT,$500 AND UNDER,RESIDENCE,False,True,523,5.0,9.0,53.0,06,1178466.0,1823633.0,2016,05/18/2016 03:50:36 PM,41.671349563,-87.62246027,"(41.671349563, -87.62246027)"
795351,10518862,HZ260899,05/11/2016 10:20:00 PM,106XX S EBERHART AVE,0810,THEFT,OVER $500,RESIDENCE,False,True,512,5.0,9.0,49.0,06,1181463.0,1834540.0,2016,05/18/2016 03:50:36 PM,41.701211535,-87.611156786,"(41.701211535, -87.611156786)"
795352,10518863,HZ260883,05/11/2016 09:46:00 PM,014XX N HUDSON AVE,031A,ROBBERY,ARMED: HANDGUN,ALLEY,False,False,1821,18.0,27.0,8.0,03,1173057.0,1909860.0,2016,05/18/2016 03:50:36 PM,41.908086537,-87.63971088,"(41.908086537, -87.63971088)"
795353,10518864,HZ260969,05/11/2016 11:22:00 PM,073XX N OAKLEY AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,2411,24.0,49.0,2.0,18,1159747.0,1948692.0,2016,05/18/2016 03:50:36 PM,42.014928513,-87.687529764,"(42.014928513, -87.687529764)"
795354,10518865,HZ260939,05/11/2016 11:02:00 PM,062XX S WOODLAWN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),True,False,314,3.0,20.0,42.0,14,1185288.0,1863884.0,2016,05/18/2016 03:50:36 PM,41.781645684,-87.596230744,"(41.781645684, -87.596230744)"
795355,10518868,HZ260924,05/11/2016 11:00:00 PM,016XX N NORMANDY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,False,True,2513,25.0,36.0,25.0,08B,1131502.0,1910127.0,2016,05/18/2016 03:50:36 PM,41.909639853,-87.79235828,"(41.909639853, -87.79235828)"
795356,10518869,HZ260890,05/11/2016 08:00:00 PM,009XX W 31ST ST,0890,THEFT,FROM BUILDING,APARTMENT,False,False,913,9.0,11.0,60.0,06,1170737.0,1884304.0,2016,05/18/2016 03:50:36 PM,41.838010175,-87.648981788,"(41.838010175, -87.648981788)"
795357,10518870,HZ260990,05/11/2016 11:00:00 PM,044XX W MAYPOLE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1113,11.0,28.0,26.0,08B,1146577.0,1901083.0,2016,05/18/2016 03:50:36 PM,41.884547876,-87.737209286,"(41.884547876, -87.737209286)"
795358,10518871,HZ260877,05/11/2016 10:00:00 PM,012XX N LARAMIE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,2533,25.0,37.0,25.0,26,1141474.0,1907696.0,2016,05/18/2016 03:50:36 PM,41.902790484,-87.75578497,"(41.902790484, -87.75578497)"
795359,10518872,HZ260894,05/11/2016 08:30:00 PM,063XX N PULASKI RD,0460,BATTERY,SIMPLE,ALLEY,False,False,1711,17.0,39.0,12.0,08B,1148552.0,1941737.0,2016,05/18/2016 03:50:36 PM,41.996068,-87.728904129,"(41.996068, -87.728904129)"
795360,10518873,HZ260984,05/11/2016 03:00:00 PM,081XX S JUSTINE ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,False,False,614,6.0,21.0,71.0,05,1167418.0,1850822.0,2016,05/18/2016 03:50:36 PM,41.746203501,-87.662119948,"(41.746203501, -87.662119948)"
795361,10518876,HZ260911,05/11/2016 08:15:00 PM,022XX W NORTH AVE,0810,THEFT,OVER $500,STREET,False,False,1424,14.0,1.0,24.0,06,1161235.0,1910604.0,2016,05/18/2016 03:50:36 PM,41.910382243,-87.683117989,"(41.910382243, -87.683117989)"
795362,10518877,HZ260942,05/11/2016 05:55:00 PM,003XX S PLYMOUTH CT,0890,THEFT,FROM BUILDING,RESTAURANT,False,False,113,1.0,2.0,32.0,06,1176135.0,1898807.0,2016,05/18/2016 03:50:36 PM,41.877687677,-87.628737441,"(41.877687677, -87.628737441)"
795363,10518878,HZ260949,05/11/2016 11:00:00 PM,044XX W MAYPOLE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,1113,11.0,28.0,26.0,14,1146577.0,1901083.0,2016,05/18/2016 03:50:36 PM,41.884547876,-87.737209286,"(41.884547876, -87.737209286)"
795364,10518880,HZ260905,05/11/2016 10:00:00 PM,030XX W BELMONT AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1733,17.0,33.0,21.0,06,1155737.0,1921124.0,2016,05/18/2016 03:50:36 PM,41.939362537,-87.703031512,"(41.939362537, -87.703031512)"
795365,10518881,HZ260951,05/11/2016 02:00:00 PM,012XX W HARRISON ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,"SCHOOL, PRIVATE, BUILDING",False,False,1231,12.0,2.0,28.0,11,1168312.0,1897499.0,2016,05/18/2016 03:50:36 PM,41.874271066,-87.657499107,"(41.874271066, -87.657499107)"
